player,team
Mike M,Kansas
Mike M,Georgia
Mike M,Texas A&M
Mike M,Missouri
Steve,St. John's
Steve,Utah State
Steve,Vanderbilt
Steve,Tennessee
Dave,Kansas
Dave,Saint Louis
Dave,Florida
Dave,Villanova
TJ E,Ohio State
TJ E,Kentucky
TJ E,UNC
TJ E,Wisconsin
Wong,Villanova
Wong,UCF
Wong,VCU
Wong,Tennessee
Kelly,TCU
Kelly,Georgia
Kelly,McNeese
Kelly,BYU
Madison,Michigan State
Madison,Alabama
Madison,UNC
Madison,Missouri
Ryan,Ohio State
Ryan,Kentucky
Ryan,Texas A&M
Ryan,Arkansas
Windish,UCLA
Windish,Saint Louis
Windish,Saint Mary's
Windish,BYU
Simptastic,St. John's
Simptastic,Akron
Simptastic,Vanderbilt
Simptastic,Arkansas
Nate,South Florida
Nate,Virginia
Nate,UNC
Nate,Wisconsin
Duff,South Florida
Duff,Virginia
Duff,Saint Mary's
Duff,Gonzaga
Dots,UCLA
Dots,Akron
Dots,Saint Mary's
Dots,Gonzaga
Keenan,St. John's
Keenan,Kentucky
Keenan,McNeese
Keenan,BYU
Russ,Ohio State
Russ,Texas Tech
Russ,Vanderbilt
Russ,Villanova
Harrisons,St. John's
Harrisons,BYU
Harrisons,VCU
Harrisons,Tennessee
Shelagh,St. John's
Shelagh,Tennessee State
Shelagh,Texas A&M
Shelagh,Purdue
