seed,team,region
1,Auburn,south
16,Alabama St.,south
9,Creighton,south
8,Louisville,south
5,Michigan,south
12,UC San Diego,south
13,Yale,south
4,Texas A&M,south
6,Ole Miss,south
11,North Carolina,south
14,Lipscomb,south
3,Iowa State,south
10,New Mexico,south
7,Marquette,south
15,Bryant,south
2,Michigan State,south
1,Houston,midwest
16,SIU Edwardsville,midwest
9,Georgia,midwest
8,Gonzaga,midwest
12,McNeese,midwest
5,Clemson,midwest
4,Purdue,midwest
13,High Point,midwest
6,Illinois,midwest
11,Texas/Xavier,midwest
3,Kentucky,midwest
14,Troy,midwest
10,Utah State,midwest
7,UCLA,midwest
2,Tenessee,midwest
15,Wofford,midwest
1,Duke,east
16,American/Mount St. Mary's,east
9,Baylor,east
8,Mississippi State,east
5,Oregon,east
12,Liberty,east
13,Akron,east
4,Arizona,east
6,BYU,east
11,VCU,east
14,Montana,east
3,Wisconsin,east
10,Vanderbilt,east
7,Saint Mary's,east
15,Robert Morris,east
2,Alabama,east
1,Florida,west
16,Norfolk State,west
9,Oklahoma,west
8,UConn,west
5,Memphis,west
12,Colorado State,west
4,Maryland,west
13,Grand Canyon,west
6,Missouri,west
11,Drake,west
14,UNCW,west
3,Texas Tech,west
7,Kansas,west
10,Arkansas,west
2,St. John's,west
15,Omaha,west
